Source,Target,Weight
Sun,Mercury,1
Sun,Venus,1
Sun,Earth,1
Sun,Mars,1
Sun,Jupiter,1
Sun,Saturn,1
Sun,Uranus,1
Sun,Neptune,1
Sun,Ceres,1
Sun,Pluto,1
Sun,Eris,1
Sun,Haumea,1
Sun,Makemake,1
Earth,Moon,1
Mars,Deimos,1
Mars,Phobos,1
Jupiter,Adrastea,1
Jupiter,Aitne,1
Jupiter,Amalthea,1
Jupiter,Ananke,1
Jupiter,Aoede,1
Jupiter,Arche,1
Jupiter,Autonoe,1
Jupiter,Callirrhoe,1
Jupiter,Callisto,1
Jupiter,Carme,1
Jupiter,Carpo,1
Jupiter,Chaldene,1
Jupiter,Cyllene,1
Jupiter,Dia,1
Jupiter,Eirene,1
Jupiter,Elara,1
Jupiter,Erinome,1
Jupiter,Ersa,1
Jupiter,Euanthe,1
Jupiter,Eukelade,1
Jupiter,Eupheme,1
Jupiter,Euporie,1
Jupiter,Europa,1
Jupiter,Eurydome,1
Jupiter,Ganymede,1
Jupiter,Harpalyke,1
Jupiter,Hegemone,1
Jupiter,Helike,1
Jupiter,Hermippe,1
Jupiter,Herse,1
Jupiter,Himalia,1
Jupiter,Io,1
Jupiter,Iocaste,1
Jupiter,Isonoe,1
Jupiter,Jupiter LI,1
Jupiter,Jupiter LII,1
Jupiter,Kale,1
Jupiter,Kallichore,1
Jupiter,Kalyke,1
Jupiter,Kore,1
Jupiter,Leda,1
Jupiter,Lysithea,1
Jupiter,Megaclite,1
Jupiter,Metis,1
Jupiter,Mneme,1
Jupiter,Orthosie,1
Jupiter,Pandia,1
Jupiter,Pasiphae,1
Jupiter,Pasithee,1
Jupiter,Philophrosyne,1
Jupiter,Praxidike,1
Jupiter,Sinope,1
Jupiter,Sponde,1
Jupiter,Taygete,1
Jupiter,Thebe,1
Jupiter,Thelxinoe,1
Jupiter,Themisto,1
Jupiter,Thyone,1
Saturn,Aegaeon,1
Saturn,Aegir,1
Saturn,Alborix,1
Saturn,Anthe,1
Saturn,Atlas,1
Saturn,Bebhionn,1
Saturn,Bergelmire,1
Saturn,Bestla,1
Saturn,Calypso,1
Saturn,Daphnis,1
Saturn,Dione,1
Saturn,Enceladus,1
Saturn,Epimetheus,1
Saturn,Erriapus,1
Saturn,Farbauti,1
Saturn,Fenrir,1
Saturn,Fornjot,1
Saturn,Greip,1
Saturn,Hati,1
Saturn,Helene,1
Saturn,Hyperion,1
Saturn,Hyrrokkin,1
Saturn,Iapetus,1
Saturn,Ijiraq,1
Saturn,Janus,1
Saturn,Jarnsaxa,1
Saturn,Kari,1
Saturn,Kiviuq,1
Saturn,Loge,1
Saturn,Methone,1
Saturn,Mimas,1
Saturn,Mundilfari,1
Saturn,Narvi,1
Saturn,Paaliaq,1
Saturn,Pallene,1
Saturn,Pan,1
Saturn,Pandora,1
Saturn,Phoebe,1
Saturn,Polydeuces,1
Saturn,Prometheus,1
Saturn,Rhea,1
Saturn,Siarnaq,1
Saturn,Skathi,1
Saturn,Skoll,1
Saturn,Surtur,1
Saturn,Suttungr,1
Saturn,Tarqeq,1
Saturn,Tarvos,1
Saturn,Telesto,1
Saturn,Tethys,1
Saturn,Thrymr,1
Saturn,Titan,1
Saturn,Ymir,1
Uranus,Ariel,1
Uranus,Belinda,1
Uranus,Bianca,1
Uranus,Caliban,1
Uranus,Cordelia,1
Uranus,Cressida,1
Uranus,Cupid,1
Uranus,Desdemona,1
Uranus,Ferdinand,1
Uranus,Francisco,1
Uranus,Juliet,1
Uranus,Mab,1
Uranus,Margaret,1
Uranus,Miranda,1
Uranus,Oberon,1
Uranus,Ophelia,1
Uranus,Perdita,1
Uranus,Portia,1
Uranus,Prospero,1
Uranus,Puck,1
Uranus,Rosalind,1
Uranus,Setebos,1
Uranus,Stephano,1
Uranus,Sycorax,1
Uranus,Titania,1
Uranus,Trinculo,1
Uranus,Umbriel,1
Neptune,Despina,1
Neptune,Galatea,1
Neptune,Halimede,1
Neptune,Hippocamp,1
Neptune,Laomedeia,1
Neptune,Larissa,1
Neptune,Naiad,1
Neptune,Nereid,1
Neptune,Neso,1
Neptune,Proteus,1
Neptune,Psamathe,1
Neptune,Sao,1
Neptune,Thalassa,1
Neptune,Triton,1
Pluto,Charon,1
Pluto,Hydra,1
Pluto,Kerberos,1
Pluto,Nix,1
Pluto,Styx,1
Eris,Dysnomia,1
Haumea,Namaka,1
Haumea,Hi'iaka,1